resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score,delta
R010,JOB017,R010_CF_AGE,age,31,0.557865,0.559757,0.0018919999999998938
R010,JOB017,R010_CF_EXPERIENCE,experience,24,0.557865,0.56061,0.0027449999999999974
R011,JOB006,R011_CF_NAME,name,Ishita Chopra,0.54628,0.544994,-0.0012860000000000094
R011,JOB006,R011_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.54628,0.547735,0.001454999999999984
R011,JOB006,R011_CF_CITY,city,Chennai,0.54628,0.546069,-0.00021099999999996122
R011,JOB006,R011_CF_DEGREE,degree,M.E.,0.54628,0.475692,-0.07058799999999998
R011,JOB006,R011_CF_COURSE,course,Law,0.54628,0.454722,-0.09155799999999997
R011,JOB006,R011_CF_AGE,age,33,0.54628,0.54628,0.0
R011,JOB006,R011_CF_EXPERIENCE,experience,76,0.54628,0.54628,0.0
R012,JOB010,R012_CF_NAME,name,Arjun Sharma,0.403796,0.410254,0.006458000000000019
R012,JOB010,R012_CF_COLLEGE,college,BITS Pilani,0.403796,0.402473,-0.001322999999999963
R012,JOB010,R012_CF_CITY,city,Pune,0.403796,0.402255,-0.0015410000000000146
R012,JOB010,R012_CF_DEGREE,degree,MCA,0.403796,0.477986,0.07419000000000003
R012,JOB010,R012_CF_COURSE,course,Business Administration,0.403796,0.409301,0.005505000000000038
R012,JOB010,R012_CF_AGE,age,35,0.403796,0.409844,0.006047999999999998
R012,JOB010,R012_CF_EXPERIENCE,experience,108,0.403796,0.408816,0.0050200000000000244
R013,JOB014,R013_CF_NAME,name,Arjun Sharma,0.475844,0.480446,0.004601999999999995
R013,JOB014,R013_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.475844,0.475793,-5.099999999996774e-05
R013,JOB014,R013_CF_CITY,city,Hyderabad,0.475844,0.476031,0.00018699999999999273
R013,JOB014,R013_CF_DEGREE,degree,BCA,0.475844,0.405874,-0.06996999999999998
R013,JOB014,R013_CF_COURSE,course,Human Resources,0.475844,0.476516,0.0006720000000000059
R013,JOB014,R013_CF_AGE,age,39,0.475844,0.475844,0.0
R013,JOB014,R013_CF_EXPERIENCE,experience,84,0.475844,0.475844,0.0
R014,JOB016,R014_CF_NAME,name,Neha Kapoor,0.57649,0.575077,-0.0014129999999999976
R014,JOB016,R014_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.57649,0.57623,-0.00025999999999992696
R014,JOB016,R014_CF_CITY,city,Ahmedabad,0.57649,0.576166,-0.00032399999999999096
R014,JOB016,R014_CF_DEGREE,degree,M.Tech,0.57649,0.57649,0.0
R014,JOB016,R014_CF_COURSE,course,Operations Management,0.57649,0.516631,-0.059858999999999996
R014,JOB016,R014_CF_AGE,age,33,0.57649,0.57649,0.0
R014,JOB016,R014_CF_EXPERIENCE,experience,108,0.57649,0.57649,0.0
R015,JOB004,R015_CF_NAME,name,Neha Kapoor,0.650971,0.64832,-0.002650999999999959
R015,JOB004,R015_CF_COLLEGE,college,Indian Institute of Technology Madras,0.650971,0.650165,-0.0008059999999999734
R015,JOB004,R015_CF_CITY,city,Bangalore,0.650971,0.650513,-0.00045799999999995844
R015,JOB004,R015_CF_DEGREE,degree,M.Sc,0.650971,0.562736,-0.08823499999999995
R015,JOB004,R015_CF_COURSE,course,Electrical and Electronics Engineering,0.650971,0.579548,-0.07142300000000001
R015,JOB004,R015_CF_AGE,age,29,0.650971,0.650971,0.0
R015,JOB004,R015_CF_EXPERIENCE,experience,60,0.650971,0.650971,0.0
R016,JOB010,R016_CF_NAME,name,Vikram Reddy,0.512976,0.512057,-0.0009190000000000031
